period,business_slice_name,trips,revenue,drivers,ticket,tpd,grain,source
2026-06-01,Auto regular,9736,4731.7180,1438,16.1740345110928513,6.7705146036161335,day,V1
2026-06-01,Carga,24,59.9840,14,62.4833333333333333,1.71428571428571430000,day,V1
2026-06-01,Delivery,312,101.3760,46,10.8307692307692308,6.7826086956521739,day,V1
2026-06-01,PRO,340,107.0040,20,10.4905882352941176,17.0000000000000000,day,V1
2026-06-01,Tuk Tuk,1209,139.9980,50,3.8598842018196857,24.1800000000000000,day,V1
2026-06-01,YMA,480,202.7940,37,14.0829166666666667,12.9729729729729730,day,V1
2026-06-02,Auto regular,10537,4657.9070,1495,14.7245610705134289,7.0481605351170569,day,V1
2026-06-02,Carga,17,51.4720,11,75.6941176470588235,1.54545454545454550000,day,V1
2026-06-02,Delivery,265,88.4460,49,11.1252830188679245,5.4081632653061224,day,V1
2026-06-02,PRO,444,127.2450,23,9.5529279279279279,19.3043478260869565,day,V1
2026-06-02,Tuk Tuk,1309,145.4430,54,3.7036669213139801,24.2407407407407407,day,V1
2026-06-02,YMA,573,224.2470,39,13.0452006980802792,14.6923076923076923,day,V1
2026-06-03,Auto regular,11196,4843.6450,1543,14.4120846730975348,7.2559948152948801,day,V1
2026-06-03,Carga,15,31.2930,9,52.6866666666666667,1.66666666666666670000,day,V1
2026-06-03,Delivery,346,97.8600,51,9.4277456647398844,6.7843137254901961,day,V1
2026-06-03,PRO,473,133.2780,23,9.3923890063424947,20.5652173913043478,day,V1
2026-06-03,Tuk Tuk,1174,132.2160,53,3.7540034071550256,22.1509433962264151,day,V1
2026-06-03,YMA,726,275.1360,47,12.6325068870523416,15.4468085106382979,day,V1
2026-06-04,Auto regular,11703,5143.5580,1587,14.6313253012048193,7.3742911153119093,day,V1
2026-06-04,Carga,27,67.3210,16,62.8333333333333333,1.68750000000000000000,day,V1
2026-06-04,Delivery,323,95.9160,50,9.8984520123839009,6.4600000000000000,day,V1
2026-06-04,PRO,416,121.0170,24,9.6968750000000000,17.3333333333333333,day,V1
2026-06-04,Tuk Tuk,974,107.1300,46,3.6663244353182752,21.1739130434782609,day,V1
2026-06-04,YMA,770,297.3300,47,12.8714285714285714,16.3829787234042553,day,V1
2026-06-05,Auto regular,11934,5503.8390,1615,15.3676302999832412,7.3894736842105263,day,V1
2026-06-05,Carga,34,87.9690,20,64.8088235294117647,1.70000000000000000000,day,V1
2026-06-05,Delivery,411,125.5080,54,10.1790754257907543,7.6111111111111111,day,V1
2026-06-05,PRO,469,148.1550,23,10.5298507462686567,20.3913043478260870,day,V1
2026-06-05,Tuk Tuk,1293,144.3180,52,3.7204949729311678,24.8653846153846154,day,V1
2026-06-05,YMA,932,363.6630,46,13.0065450643776824,20.2608695652173913,day,V1
2026-03-23,Auto regular,94415,46236.8810,12879,16.3085473706508500,7.3309263141548257,week,V1
2026-03-23,Carga,207,638.2460,115,77.3154589371980676,1.80000000000000000000,week,V1
2026-03-23,Delivery,2376,772.7775,365,10.8414351851851852,6.5095890410958904,week,V1
2026-03-23,PRO,4066,1267.4580,198,10.3907033939990162,20.5353535353535354,week,V1
2026-03-23,Tuk Tuk,6082,NaN,321,NaN,18.9470404984423676,week,V1
2026-03-23,YMA,4163,1623.0150,249,12.9955560893586356,16.7188755020080321,week,V1
2026-03-30,Auto regular,575055,274292.5680,24885,15.8872024415055951,23.1084990958408680,week,V1
2026-03-30,Carga,150,431.0480,34,71.8413333333333333,4.4117647058823529,week,V1
2026-03-30,Delivery,1105,292.4310,100,8.8214479638009050,11.0500000000000000,week,V1
2026-03-30,PRO,2602,798.1260,28,10.2245196003074558,92.9285714285714286,week,V1
2026-03-30,Tuk Tuk,4555,564.0630,80,4.1277936333699232,56.9375000000000000,week,V1
2026-03-30,YMA,3230,1223.7090,40,12.6285758513931889,80.7500000000000000,week,V1
2026-04-06,Auto regular,810972,375165.6390,28476,15.4085586185466329,28.4791403286978508,week,V1
2026-04-06,Carga,147,394.4640,37,67.0857142857142857,3.9729729729729730,week,V1
2026-04-06,Delivery,2406,1097.0337,150,15.1985827098919368,16.0400000000000000,week,V1
2026-04-06,PRO,3811,1129.6410,29,9.8805300446077145,131.4137931034482759,week,V1
2026-04-06,Tuk Tuk,7103,865.4040,94,4.0612135717302548,75.5638297872340426,week,V1
2026-04-06,YMA,4882,1850.4050,45,12.6312781646866039,108.4888888888888889,week,V1
2026-04-13,Auto regular,794466,377606.4840,27747,15.8307746335274260,28.6325008108984755,week,V1
2026-04-13,Carga,167,429.5120,41,64.6209580838323353,4.0731707317073171,week,V1
2026-04-13,Delivery,2644,737.9430,128,9.3033661119515885,20.6562500000000000,week,V1
2026-04-13,PRO,3197,985.3500,26,10.2736940882076947,122.9615384615384615,week,V1
